Key,ParentId,Name,Channel,Channel Parent,Customer Since,Industry,Location,Sales Manager,Salesperson
C0000,"",Total Region,"","","","","","",""
C1000,C0000,West,"","","","","","",""
C2000,C0000,Midwest,"","","","","","",""
C3000,C0000,Southeast,"","","","","","",""
C4000,C0000,Southwest,"","","","","","",""
C5000,C0000,Northeast,"","","","","","",""
C900,"",No Customer,"","","","","","",""
C9000,"",Total Customers,"","","","","","",""
P001,C1000,West Plant,"",Total Channel,"","","",No Manager,No Salesperson
P002,C2000,Midwest Plant,"",Total Channel,"","","",No Manager,No Salesperson
P003,C3000,Southeast Plant,"",Total Channel,"","","",No Manager,No Salesperson
P004,C4000,Southwest Plant,"",Total Channel,"","","",No Manager,No Salesperson
P005,C5000,Northeast Plant,"",Total Channel,"","","",No Manager,No Salesperson
PLC_Midwest,"",Midwest Placeholder,"",Total Channel,"","","","",""
PLC_Northeast,C5000,Northeast Placeholder,"",Total Channel,"","","","",""
PLC_Southeast,"",Southeast Placeholder,"",Total Channel,"","","","",""
PLC_Southwest,"",Southwest Placeholder,"",Total Channel,"","","","",""
PLC_West,"",Placeholder West,"",Total Channel,"","","","",""
C000001,C1000,Artscape,Distributor,Total Channel,4/10/2018,Construction,US-CA,Saul Goodman,Jacqueline Lo
C000002,C1000,Futurpreneur,Private label,Total Channel,2/13/2017,Technology,CA-BC,Jim Halpert,Clarita Kiefer
C000003,C1000,Gizmo Labs,Wholesale,Total Channel,3/3/2015,Manufacturing,CA-AB,Ricky Roma,Mollie Ahmed
C000004,C1000,HIGHLINE,Distributor,Total Channel,6/11/2014,Construction,SA,Saul Goodman,Jackie Chow
C000005,C2000,ideaBOOST,Retail,Total Channel,6/3/2011,Retail,SE,Jim Halpert,Mavis Carrillo
C000006,C2000,Imagination Catalyst,Retail,Total Channel,2/14/2017,Manufacturing,GB,Ricky Roma,Eloise Villaneuva
C000007,C2000,Incubes Accel,Private label,Total Channel,6/22/2011,Construction,AU,Don Draper,Jean Saheed
C000008,C2000,Innovation York,Private label,Total Channel,10/30/2017,Technology,US-IL,Don Draper,Inez Santos
C000009,C3000,Kinetic Cafe,Wholesale,Total Channel,12/3/2014,Retail,AR,Saul Goodman,Shad Jensen
C000010,C3000,MaRS Discovery District,Retail,Total Channel,9/9/2009,Technology,ZA,Jim Halpert,Mikel Perez
C000011,C3000,oneeleven,Wholesale,Total Channel,1/5/2016,Retail,BR,Ricky Roma,Celina Kaiser
C000012,C3000,DaVita Inc.,Retail,Total Channel,7/22/2012,Manufacturing,US-FL,Don Draper,Kirby Booth
C000013,C4000,The Next 36,Private label,Total Channel,11/23/2016,Retail,FI,Saul Goodman,Lane Mccan
C000014,C4000,General Cable Corporation,Private label,Total Channel,8/15/2016,Construction,US-TX,Jim Halpert,Matt Lew
C000015,C4000,Gentek Inc.,Wholesale,Total Channel,5/30/2013,Construction,FR,Ricky Roma,Kristy Mejia
C000016,C4000,Gentiva Health Services,Wholesale,Total Channel,10/24/2014,Agriculture,US-AZ,Don Draper,Jonathan Wong
C000017,C5000,Genuine Parts Company,Retail,Total Channel,2/14/2013,Manufacturing,IN,Saul Goodman,Deandre Rushubak
C000018,C5000,Cleantech North,Wholesale,Total Channel,5/25/2017,Technology,CA-ON,Jim Halpert,Christa Peters
C000019,C5000,Driven Group,Distributor,Total Channel,12/11/2015,Retail,US-NY,Ricky Roma,Ricky Roma
C000020,C5000,Mantella Ventures,Private label,Total Channel,6/12/2011,Finance,DE,Don Draper,Carrie Conrad
C000021,C1000,Noble Solutions Development,Distributor,Total Channel,9/4/2010,Agriculture,US-AZ,Ricky Roma,Shad Jensen
C000022,C1000,Comprehensive Analytics Holdings,Private Label,Total Channel,2/19/2011,Agriculture,SA,Saul Goodman,Eloise Villaneuva
C000023,C1000,Revolutionary Holdings Ventures,Retail,Total Channel,4/20/2018,Retail,FR,Jim Halpert,Clarita Kiefer
C000024,C1000,Quantum Consulting Group,Wholesale,Total Channel,3/9/2018,Technology,US-CA,Saul Goodman,Inez Santos
C000025,C1000,Reliable Operations Holdings,Retail,Total Channel,11/21/2019,Agriculture,AR,Saul Goodman,Mavis Carrillo
C000026,C1000,Elite Frameworks Solutions,Distributor,Total Channel,10/13/2017,Agriculture,US-IL,Jim Halpert,Jonathan Wong
C000027,C1000,Turbo Holdings Resources,Wholesale,Total Channel,5/23/2017,Agriculture,DE,Don Draper,Mavis Carrillo
C000028,C1000,Innovative Agencies Co.,Wholesale,Total Channel,9/17/2008,Agriculture,US-TX,Don Draper,Jackie Chow
C000029,C1000,Evolving Planning Dynamics,Distributor,Total Channel,9/20/2021,Manufacturing,IN,Jim Halpert,Kirby Booth
C000030,C1000,Intelligent Analytics Group,Retail,Total Channel,4/18/2011,Technology,US-CA,Jim Halpert,Deandre Rushubak
C000031,C1000,Pioneering Concepts Enterprises,Retail,Total Channel,12/18/2016,Retail,US-FL,Don Draper,Shad Jensen
C000032,C1000,Empowered Focus Resources,Retail,Total Channel,4/4/2009,Finance,CA-AB,Don Draper,Mollie Ahmed
C000033,C1000,Pioneering Planning Holdings,Wholesale,Total Channel,3/16/2014,Construction,US-FL,Saul Goodman,Christa Peters
C000034,C1000,Bold Fusion Global,Distributor,Total Channel,1/29/2015,Technology,US-TX,Saul Goodman,Mollie Ahmed
C000035,C1000,Robust Labs Partners,Distributor,Total Channel,2/6/2015,Construction,US-FL,Saul Goodman,Kirby Booth
C000036,C1000,NextGen Dynamics LLC,Private Label,Total Channel,4/28/2010,Finance,FR,Jim Halpert,Mavis Carrillo
C000037,C1000,NextGen Industries Solutions,Retail,Total Channel,12/22/2023,Construction,GB,Saul Goodman,Clarita Kiefer
C000038,C1000,Adaptive Projects Resources,Retail,Total Channel,11/29/2012,Finance,US-AZ,Jim Halpert,Kirby Booth
C000039,C1000,Innovative Dynamics Analytics,Distributor,Total Channel,2/24/2011,Technology,US-IL,Jim Halpert,Celina Kaiser
C000040,C1000,Stellar Frameworks Network,Distributor,Total Channel,9/7/2015,Technology,GB,Jim Halpert,Christa Peters
C000041,C1000,Vibrant Focus Partners,Private Label,Total Channel,3/2/2021,Finance,BR,Jim Halpert,Clarita Kiefer
C000042,C1000,Unified Enterprises Consultants,Distributor,Total Channel,8/30/2014,Retail,GB,Don Draper,Jean Saheed
C000043,C1000,Bold Analytics LLC,Private Label,Total Channel,6/17/2017,Retail,FR,Jim Halpert,Jacqueline Lo
C000044,C1000,Profound Tech Development,Private Label,Total Channel,10/28/2011,Retail,US-NY,Don Draper,Christa Peters
C000045,C1000,Superior Projects Frameworks,Retail,Total Channel,3/24/2023,Retail,ZA,Ricky Roma,Mollie Ahmed
C000046,C1000,Progressive Connections Holdings,Wholesale,Total Channel,10/30/2011,Retail,AU,Don Draper,Jackie Chow
C000047,C1000,Revolutionary Industries Group,Private Label,Total Channel,6/8/2014,Technology,US-IL,Jim Halpert,Kirby Booth
C000048,C1000,Brilliant Ventures Solutions,Distributor,Total Channel,5/14/2023,Finance,US-IL,Don Draper,Jean Saheed
C000049,C1000,Profound Operations Network,Private Label,Total Channel,7/9/2022,Construction,SA,Don Draper,Matt Lew
C000050,C1000,Synergistic Enterprises Frameworks,Wholesale,Total Channel,10/16/2022,Retail,SA,Jim Halpert,Eloise Villaneuva
C000051,C1000,Velocity Partners Development,Wholesale,Total Channel,10/6/2022,Technology,BR,Saul Goodman,Shad Jensen
C000052,C1000,Noble Synthesis Consortium,Private Label,Total Channel,12/23/2008,Construction,US-CA,Jim Halpert,Carrie Conrad
C000053,C1000,Velocity Systems Works,Distributor,Total Channel,4/20/2012,Agriculture,FR,Jim Halpert,Jackie Chow
C000054,C1000,Quantum Solutions Ventures,Retail,Total Channel,2/3/2020,Finance,US-NY,Saul Goodman,Mollie Ahmed
C000055,C1000,Robust Networks Holdings,Distributor,Total Channel,8/28/2019,Manufacturing,ZA,Jim Halpert,Carrie Conrad
C000056,C1000,Velocity Initiatives Network,Private Label,Total Channel,4/22/2010,Manufacturing,US-TX,Ricky Roma,Carrie Conrad
C000057,C1000,Innovative Tech Consulting,Private Label,Total Channel,10/14/2012,Finance,IN,Jim Halpert,Jonathan Wong
C000058,C1000,Agile Enterprises International,Wholesale,Total Channel,2/9/2013,Agriculture,SE,Jim Halpert,Celina Kaiser
C000059,C1000,Evolving Engineering Dynamics,Wholesale,Total Channel,9/21/2021,Construction,SE,Jim Halpert,Lakeisha Grimes
C000060,C1000,Virtual Labworks Ventures,Private Label,Total Channel,10/26/2015,Manufacturing,CA-ON,Don Draper,Clarita Kiefer
C000061,C1000,Bold Dynamics Solutions,Retail,Total Channel,1/11/2015,Construction,AU,Don Draper,Kristy Mejia
C000062,C1000,Noble Strategies Technologies,Private Label,Total Channel,6/23/2011,Finance,US-FL,Jim Halpert,Kristy Mejia
C000063,C1000,Cutting-Edge Global Partners,Retail,Total Channel,1/22/2013,Finance,US-AZ,Saul Goodman,Jonathan Wong
C000064,C1000,Profound Labworks Corporation,Retail,Total Channel,5/31/2010,Retail,CA-AB,Jim Halpert,Lakeisha Grimes
C000065,C1000,Elevated Fabrication Partners,Wholesale,Total Channel,7/2/2014,Agriculture,CA-ON,Jim Halpert,Shad Jensen
C000066,C1000,Synergistic Operations Ventures,Private Label,Total Channel,8/12/2022,Agriculture,US-CA,Ricky Roma,Mikel Perez
C000067,C1000,Unified Dynamics Consortium,Private Label,Total Channel,2/6/2008,Finance,FR,Jim Halpert,Mikel Perez
C000068,C1000,Profound Structures Resources,Retail,Total Channel,11/20/2019,Finance,CA-AB,Ricky Roma,Mikel Perez
